"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"4110",32,19,5579,31,0,0,0,0,0,0,0,85,85,50,50,50,10,10,"false",2028,13,6,1591,827,19,29,13,1,24,18,0,1,4,330,4,2,323,1,NA,NA
"4111",32,19,5659,31,0,0,0,0,0,0,0,111,111,50,50,50,10,10,"false",2051,12,6,1590,826,18,30,13,1,24,17,0,1,4,353,3,2,348,2,NA,NA
"4112",32,19,5698,31,0,0,0,0,0,0,0,136,136,50,50,50,10,10,"false",2006,13,6,1570,802,19,29,14,1,23,17,0,1,4,328,3,2,322,1,NA,NA
"4113",32,19,5703,31,0,0,0,0,0,0,0,161,161,50,50,50,10,10,"false",2002,12,6,1567,803,18,30,13,1,24,17,1,0,5,328,4,1,323,1,NA,NA
"4114",32,19,5732,31,0,0,0,0,0,0,0,148,148,50,50,50,10,10,"false",2032,12,6,1573,812,18,30,13,1,23,17,0,1,4,353,4,2,347,1,NA,NA
"4115",32,19,5741,31,0,0,0,0,0,0,0,125,125,50,50,50,10,10,"false",2024,12,6,1570,811,18,30,13,1,24,18,0,1,4,347,4,2,341,1,NA,NA
"4116",32,19,5820,227,89,8,0,0,2,113,87,910,1110,50,5,5,10,5,"false",1663,8,6,1180,619,38,37,19,2,114,104,0,4,4,236,6,7,223,1,NA,NA
"4117",32,19,6793,87,30,0,1,0,0,40,29,500,569,50,10,10,10,8,"false",1772,9,6,1333,667,25,38,15,1,60,52,1,2,4,284,5,5,274,1,NA,NA
"4118",32,19,7050,33,2,0,2,0,0,0,0,238,238,50,20,20,10,10,"false",1949,10,6,1482,748,23,29,17,1,41,33,0,3,4,337,4,4,329,1,NA,NA
"4119",32,19,7100,97,11,0,1,0,0,48,10,482,540,50,10,10,10,8,"false",1782,9,6,1346,679,23,40,15,1,40,32,0,3,3,299,5,4,290,1,NA,NA
"4120",32,19,7159,71,35,0,2,0,0,28,33,400,461,50,10,10,10,9,"false",1806,8,6,1359,672,25,30,16,1,66,57,0,3,5,291,5,5,281,1,NA,NA
"4121",32,19,7167,33,1,0,1,0,0,2,0,334,336,50,20,20,10,10,"false",1923,10,6,1464,737,24,29,17,1,41,22,0,3,15,328,4,3,321,2,NA,NA
"4122",32,19,7190,31,0,0,0,0,0,0,0,272,272,50,20,20,10,10,"false",1930,10,6,1492,758,20,29,23,1,25,19,0,1,4,321,4,2,314,1,NA,NA
"4123",32,19,7323,37,0,0,0,0,0,5,0,345,350,50,20,20,10,10,"false",1945,10,6,1498,766,21,30,23,2,24,17,1,0,4,328,4,2,321,1,NA,NA
"4124",32,29,10299,31,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805407,69,6,4691,3789,22,29,22,1,1800043,18,1800019,1,4,521,4,1,516,1,NA,NA
"4125",32,29,10299,31,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805724,69,6,4948,4048,22,29,22,1,1800043,18,1800019,1,4,579,4,1,574,2,NA,NA
"4126",32,29,10299,31,0,0,0,0,0,0,0,2,2,60,1000,1000,10,10,"true",1805630,69,6,4857,3954,21,29,21,1,1800044,19,1800019,1,4,579,4,1,574,1,NA,NA
"4127",32,29,10299,31,0,0,0,0,0,0,0,2,2,60,1000,1000,10,10,"true",1805641,69,5,4779,3855,23,29,23,1,1800045,20,1800019,1,4,664,4,1,659,1,NA,NA
